Order ID,Customer ID,Order Date Time,Delivery Date Time,Total Amount,Delivery Status
1,17,17-11-2024 22:12,17-11-2024 22:27,113,Delivered
2,71,13-11-2024 10:52,13-11-2024 11:03,1170,Delivered
3,2,25-10-2024 03:06,25-10-2024 03:17,837,Delivered
4,155,13-10-2024 20:52,13-10-2024 21:05,357,Delivered
5,270,22-10-2024 05:01,22-10-2024 05:12,410,Delivered
6,108,24-10-2024 16:57,24-10-2024 17:11,1227,Delivered
7,85,16-11-2024 16:27,16-11-2024 16:42,1003,Delivered
8,278,03-10-2024 10:55,03-10-2024 11:04,661,Delivered
9,43,27-10-2024 17:00,27-10-2024 17:12,552,Delivered
10,198,09-11-2024 00:54,09-11-2024 01:10,777,Delivered
11,4,27-09-2024 21:42,27-09-2024 21:52,1005,Delivered
12,17,15-11-2024 03:32,15-11-2024 03:42,1250,Delivered
13,232,14-10-2024 22:54,14-10-2024 23:04,1051,Delivered
14,151,02-10-2024 23:27,02-10-2024 23:39,939,Delivered
15,110,12-10-2024 23:19,12-10-2024 23:30,1292,Delivered
16,201,09-11-2024 00:17,09-11-2024 00:31,188,Delivered
17,93,01-10-2024 09:48,01-10-2024 10:02,1290,Delivered
18,15,08-10-2024 00:28,08-10-2024 00:40,1193,Delivered
19,157,10-10-2024 12:19,10-10-2024 12:30,913,Delivered
20,198,20-11-2024 16:10,20-11-2024 16:19,276,Delivered
21,4,17-10-2024 09:19,,678,Cancelled
22,159,27-10-2024 15:02,27-10-2024 15:10,1352,Delivered
23,55,09-11-2024 13:05,09-11-2024 13:22,736,Delivered
24,176,30-10-2024 21:44,30-10-2024 21:55,1484,Delivered
25,269,28-09-2024 23:52,29-09-2024 00:01,1360,Delivered
26,248,27-10-2024 00:26,27-10-2024 00:36,1377,Delivered
27,291,19-10-2024 21:51,19-10-2024 22:00,880,Delivered
28,267,16-11-2024 19:42,16-11-2024 19:50,596,Delivered
29,110,05-10-2024 16:55,05-10-2024 17:08,178,Delivered
30,84,19-11-2024 15:24,19-11-2024 15:38,787,Delivered
31,79,23-11-2024 22:24,23-11-2024 22:36,1359,Delivered
32,89,18-11-2024 22:18,18-11-2024 22:26,356,Delivered
33,138,26-10-2024 01:35,26-10-2024 01:48,763,Delivered
34,4,01-11-2024 08:05,01-11-2024 08:17,638,Delivered
35,227,11-11-2024 10:36,11-11-2024 10:50,1209,Delivered
36,76,29-09-2024 08:32,29-09-2024 08:40,1499,Delivered
37,59,23-10-2024 15:36,23-10-2024 15:50,1327,Delivered
38,273,23-10-2024 03:38,23-10-2024 03:46,149,Delivered
39,179,20-10-2024 02:09,20-10-2024 02:17,549,Delivered
40,82,27-09-2024 13:44,27-09-2024 13:52,1250,Delivered
41,118,13-11-2024 22:32,13-11-2024 22:48,219,Delivered
42,78,22-11-2024 18:31,22-11-2024 18:47,1209,Delivered
43,288,07-10-2024 06:43,07-10-2024 06:56,1331,Delivered
44,156,27-10-2024 21:53,27-10-2024 22:09,254,Delivered
45,202,12-11-2024 03:42,12-11-2024 03:56,287,Delivered
46,241,22-10-2024 07:40,22-10-2024 07:57,366,Delivered
47,282,27-10-2024 12:33,27-10-2024 12:49,317,Delivered
48,105,18-11-2024 02:18,18-11-2024 02:33,835,Delivered
49,195,02-11-2024 11:58,02-11-2024 12:13,1339,Delivered
50,120,04-11-2024 20:23,04-11-2024 20:38,762,Delivered
51,248,11-11-2024 08:34,11-11-2024 08:42,474,Delivered
52,108,25-10-2024 11:27,25-10-2024 11:35,426,Delivered
53,2,25-10-2024 05:51,25-10-2024 06:03,712,Delivered
54,124,10-10-2024 09:06,10-10-2024 09:14,678,Delivered
55,252,28-10-2024 08:28,28-10-2024 08:38,278,Delivered
56,144,30-09-2024 05:44,30-09-2024 05:53,155,Delivered
57,116,27-10-2024 03:53,27-10-2024 04:01,1185,Delivered
58,239,12-11-2024 15:09,12-11-2024 15:18,669,Delivered
59,48,24-10-2024 03:46,24-10-2024 04:02,750,Delivered
60,17,08-10-2024 14:53,08-10-2024 15:03,524,Delivered
61,180,03-10-2024 02:05,03-10-2024 02:20,451,Delivered
62,176,18-10-2024 08:37,18-10-2024 08:54,393,Delivered
63,143,17-10-2024 11:58,17-10-2024 12:06,865,Delivered
64,96,02-11-2024 04:10,02-11-2024 04:21,872,Delivered
65,283,20-10-2024 17:35,20-10-2024 17:48,1164,Delivered
66,7,01-11-2024 08:49,01-11-2024 09:03,634,Delivered
67,53,29-10-2024 02:28,29-10-2024 02:38,813,Delivered
68,20,29-10-2024 22:29,29-10-2024 22:39,1468,Delivered
69,167,13-10-2024 21:54,13-10-2024 22:05,1272,Delivered
70,55,10-10-2024 15:15,10-10-2024 15:28,1046,Delivered
71,105,16-10-2024 10:00,16-10-2024 10:17,182,Delivered
72,107,20-10-2024 23:14,20-10-2024 23:31,176,Delivered
73,209,02-10-2024 06:25,02-10-2024 06:37,510,Delivered
74,261,05-11-2024 02:12,05-11-2024 02:23,360,Delivered
75,287,04-11-2024 03:13,04-11-2024 03:27,258,Delivered
76,104,02-11-2024 04:35,02-11-2024 04:48,642,Delivered
77,151,29-10-2024 21:08,29-10-2024 21:25,1208,Delivered
78,110,10-11-2024 12:10,10-11-2024 12:25,487,Delivered
79,135,06-11-2024 00:05,06-11-2024 00:19,694,Delivered
80,255,19-11-2024 22:37,19-11-2024 22:49,1002,Delivered
81,111,10-10-2024 03:55,,1041,Cancelled
82,50,03-10-2024 20:54,,281,Cancelled
83,110,23-10-2024 12:26,23-10-2024 12:39,724,Delivered
84,88,15-10-2024 12:56,15-10-2024 13:09,1350,Delivered
85,92,14-10-2024 23:32,14-10-2024 23:47,510,Delivered
86,150,09-11-2024 06:25,09-11-2024 06:39,646,Delivered
87,60,23-10-2024 02:08,,874,Cancelled
88,24,28-09-2024 12:25,28-09-2024 12:35,849,Delivered
89,205,30-09-2024 20:33,30-09-2024 20:50,785,Delivered
90,101,14-11-2024 09:56,14-11-2024 10:04,173,Delivered
91,244,27-10-2024 02:19,27-10-2024 02:34,485,Delivered
92,247,05-11-2024 11:58,05-11-2024 12:15,1118,Delivered
93,122,16-11-2024 04:26,16-11-2024 04:38,852,Delivered
94,240,22-11-2024 00:29,22-11-2024 00:37,746,Delivered
95,89,06-11-2024 01:41,06-11-2024 01:58,1481,Delivered
96,91,08-10-2024 23:20,08-10-2024 23:28,516,Delivered
97,226,13-11-2024 22:14,13-11-2024 22:31,1389,Delivered
98,245,14-11-2024 20:53,14-11-2024 21:02,1005,Delivered
99,181,26-09-2024 23:43,26-09-2024 23:51,1309,Delivered
100,73,10-10-2024 09:51,10-10-2024 10:06,475,Delivered
101,76,15-10-2024 14:03,15-10-2024 14:15,361,Delivered
102,36,03-11-2024 17:57,03-11-2024 18:07,1286,Delivered
103,54,23-11-2024 09:01,23-11-2024 09:16,1092,Delivered
104,80,11-11-2024 20:19,11-11-2024 20:30,1185,Delivered
105,102,04-11-2024 14:18,04-11-2024 14:34,1492,Delivered
106,189,21-11-2024 07:14,21-11-2024 07:31,936,Delivered
107,137,01-11-2024 02:27,01-11-2024 02:35,1364,Delivered
108,182,20-10-2024 03:14,20-10-2024 03:23,760,Delivered
109,163,18-10-2024 00:48,18-10-2024 01:03,643,Delivered
110,192,19-11-2024 06:50,19-11-2024 06:58,492,Delivered
111,178,27-09-2024 03:12,27-09-2024 03:21,1225,Delivered
112,56,29-10-2024 08:42,29-10-2024 08:50,632,Delivered
113,188,05-11-2024 19:15,05-11-2024 19:31,972,Delivered
114,60,22-10-2024 03:21,22-10-2024 03:33,1054,Delivered
115,136,27-09-2024 19:13,27-09-2024 19:27,128,Delivered
116,182,13-11-2024 08:38,13-11-2024 08:51,1414,Delivered
117,68,27-10-2024 00:06,27-10-2024 00:23,130,Delivered
118,103,31-10-2024 16:41,31-10-2024 16:55,561,Delivered
119,12,09-11-2024 14:46,09-11-2024 14:57,1008,Delivered
120,1,08-10-2024 00:49,08-10-2024 01:01,1228,Delivered
121,247,30-09-2024 19:32,30-09-2024 19:46,1204,Delivered
122,131,16-11-2024 06:45,16-11-2024 07:00,745,Delivered
123,183,15-10-2024 18:45,15-10-2024 18:54,1396,Delivered
124,48,06-10-2024 18:38,06-10-2024 18:53,1460,Delivered
125,107,01-10-2024 00:14,01-10-2024 00:24,355,Delivered
126,77,15-11-2024 07:05,15-11-2024 07:22,276,Delivered
127,253,30-09-2024 20:45,30-09-2024 21:01,655,Delivered
128,55,18-11-2024 21:55,18-11-2024 22:03,948,Delivered
129,188,31-10-2024 20:06,31-10-2024 20:17,1406,Delivered
130,100,03-11-2024 09:59,03-11-2024 10:12,347,Delivered
131,16,14-10-2024 22:16,14-10-2024 22:26,103,Delivered
132,48,09-11-2024 14:04,09-11-2024 14:15,892,Delivered
133,263,30-10-2024 05:35,30-10-2024 05:48,216,Delivered
134,73,16-11-2024 01:04,16-11-2024 01:17,593,Delivered
135,128,18-11-2024 22:36,18-11-2024 22:45,1311,Delivered
136,275,09-11-2024 10:29,09-11-2024 10:46,1097,Delivered
137,96,27-09-2024 00:14,27-09-2024 00:22,479,Delivered
138,183,04-11-2024 16:21,04-11-2024 16:35,424,Delivered
139,109,15-10-2024 21:18,15-10-2024 21:30,1039,Delivered
140,84,07-10-2024 06:51,07-10-2024 07:02,1408,Delivered
141,52,30-09-2024 00:31,30-09-2024 00:44,1117,Delivered
142,260,17-10-2024 06:24,17-10-2024 06:33,111,Delivered
143,232,01-11-2024 18:12,01-11-2024 18:22,1136,Delivered
144,109,06-11-2024 22:34,06-11-2024 22:42,1273,Delivered
145,52,16-10-2024 08:02,16-10-2024 08:16,958,Delivered
146,202,26-10-2024 01:46,26-10-2024 01:57,916,Delivered
147,63,26-10-2024 06:31,26-10-2024 06:39,678,Delivered
148,257,07-11-2024 07:46,07-11-2024 08:03,140,Delivered
149,68,31-10-2024 05:15,31-10-2024 05:23,1113,Delivered
150,204,23-10-2024 14:28,23-10-2024 14:38,943,Delivered
151,279,15-10-2024 01:53,15-10-2024 02:09,431,Delivered
152,77,08-11-2024 03:02,08-11-2024 03:13,180,Delivered
153,237,22-11-2024 21:19,22-11-2024 21:30,1285,Delivered
154,116,17-11-2024 05:59,17-11-2024 06:12,568,Delivered
155,113,07-11-2024 10:11,07-11-2024 10:21,626,Delivered
156,197,21-10-2024 03:02,21-10-2024 03:16,1085,Delivered
157,2,28-10-2024 06:36,28-10-2024 06:45,322,Delivered
158,87,12-11-2024 13:44,12-11-2024 13:53,1304,Delivered
159,94,28-09-2024 13:07,28-09-2024 13:23,1293,Delivered
160,39,17-10-2024 10:37,17-10-2024 10:45,593,Delivered
161,112,27-09-2024 02:17,27-09-2024 02:32,1372,Delivered
162,284,10-11-2024 01:32,10-11-2024 01:47,1163,Delivered
163,245,18-10-2024 16:50,18-10-2024 17:04,1032,Delivered
164,91,17-11-2024 14:09,17-11-2024 14:21,588,Delivered
165,176,16-10-2024 19:16,16-10-2024 19:28,751,Delivered
166,54,24-10-2024 00:19,24-10-2024 00:32,471,Delivered
167,231,01-10-2024 10:39,01-10-2024 10:55,1475,Delivered
168,89,05-10-2024 07:33,05-10-2024 07:49,459,Delivered
169,29,20-11-2024 05:54,20-11-2024 06:07,977,Delivered
170,253,25-10-2024 23:22,25-10-2024 23:37,509,Delivered
171,220,28-10-2024 16:23,28-10-2024 16:34,1462,Delivered
172,294,02-11-2024 02:07,02-11-2024 02:24,1042,Delivered
173,161,12-11-2024 15:02,12-11-2024 15:18,1082,Delivered
174,86,11-11-2024 11:46,11-11-2024 12:00,1439,Delivered
175,178,12-10-2024 04:40,12-10-2024 04:57,1051,Delivered
176,86,21-11-2024 12:33,21-11-2024 12:46,715,Delivered
177,286,03-11-2024 05:40,03-11-2024 05:56,1176,Delivered
178,14,12-10-2024 01:52,12-10-2024 02:07,346,Delivered
179,153,15-10-2024 01:23,15-10-2024 01:32,1102,Delivered
180,66,04-11-2024 13:16,04-11-2024 13:32,1311,Delivered
181,290,28-09-2024 19:37,28-09-2024 19:50,580,Delivered
182,149,05-10-2024 01:34,05-10-2024 01:46,1434,Delivered
183,284,20-10-2024 16:59,20-10-2024 17:12,694,Delivered
184,120,26-10-2024 03:40,26-10-2024 03:56,1214,Delivered
185,109,08-11-2024 16:48,08-11-2024 17:04,1333,Delivered
186,72,10-10-2024 01:08,10-10-2024 01:24,873,Delivered
187,115,13-11-2024 05:51,13-11-2024 06:01,795,Delivered
188,212,02-10-2024 22:34,02-10-2024 22:47,680,Delivered
189,32,28-09-2024 14:38,28-09-2024 14:48,1413,Delivered
190,164,04-11-2024 15:08,04-11-2024 15:25,1259,Delivered
191,34,11-10-2024 10:24,11-10-2024 10:37,202,Delivered
192,32,03-11-2024 02:14,03-11-2024 02:26,638,Delivered
193,10,13-11-2024 03:32,13-11-2024 03:43,326,Delivered
194,268,03-10-2024 13:13,03-10-2024 13:25,587,Delivered
195,256,12-11-2024 00:21,12-11-2024 00:37,636,Delivered
196,270,25-10-2024 18:02,25-10-2024 18:10,612,Delivered
197,219,05-10-2024 20:31,05-10-2024 20:42,987,Delivered
198,227,01-11-2024 12:53,,1482,Cancelled
199,67,19-10-2024 11:33,19-10-2024 11:46,537,Delivered
200,92,07-11-2024 04:04,07-11-2024 04:16,691,Delivered
201,73,28-10-2024 15:05,28-10-2024 15:16,363,Delivered
202,39,17-10-2024 01:22,17-10-2024 01:30,648,Delivered
203,199,10-11-2024 02:14,10-11-2024 02:27,921,Delivered
204,110,10-11-2024 16:56,10-11-2024 17:10,1233,Delivered
205,205,19-10-2024 02:54,19-10-2024 03:07,1392,Delivered
206,242,29-09-2024 23:10,29-09-2024 23:22,199,Delivered
207,158,25-10-2024 09:19,25-10-2024 09:28,381,Delivered
208,243,06-11-2024 09:11,06-11-2024 09:26,445,Delivered
209,51,29-09-2024 14:44,,1268,Cancelled
210,117,26-10-2024 02:34,26-10-2024 02:48,371,Delivered
211,129,12-10-2024 15:35,,166,Cancelled
212,165,03-10-2024 19:49,03-10-2024 20:00,400,Delivered
213,143,22-10-2024 00:46,22-10-2024 01:02,400,Delivered
214,169,20-11-2024 11:02,20-11-2024 11:14,1485,Delivered
215,192,19-10-2024 17:39,19-10-2024 17:51,304,Delivered
216,137,28-10-2024 04:35,28-10-2024 04:50,153,Delivered
217,255,08-10-2024 16:42,,1365,Cancelled
218,156,14-11-2024 21:10,14-11-2024 21:22,1237,Delivered
219,230,04-11-2024 07:23,04-11-2024 07:34,330,Delivered
220,269,28-10-2024 01:55,,331,Cancelled
221,200,19-11-2024 11:29,19-11-2024 11:37,515,Delivered
222,28,14-11-2024 03:50,14-11-2024 03:59,1016,Delivered
223,34,19-11-2024 12:25,19-11-2024 12:42,716,Delivered
224,32,03-10-2024 15:56,03-10-2024 16:12,1216,Delivered
225,299,27-10-2024 21:02,,874,Cancelled
226,105,05-11-2024 16:51,05-11-2024 17:04,421,Delivered
227,102,15-10-2024 02:13,15-10-2024 02:28,474,Delivered
228,114,23-11-2024 08:30,23-11-2024 08:43,867,Delivered
229,164,16-11-2024 15:34,16-11-2024 15:50,156,Delivered
230,223,18-11-2024 04:03,18-11-2024 04:18,1158,Delivered
231,22,18-10-2024 14:38,18-10-2024 14:47,1402,Delivered
232,152,03-10-2024 17:15,03-10-2024 17:31,1318,Delivered
233,78,10-11-2024 11:25,10-11-2024 11:35,1256,Delivered
234,52,29-10-2024 23:28,29-10-2024 23:40,1002,Delivered
235,199,07-10-2024 08:03,07-10-2024 08:13,224,Delivered
236,180,12-10-2024 18:52,12-10-2024 19:09,523,Delivered
237,10,12-11-2024 17:38,12-11-2024 17:52,1067,Delivered
238,77,21-11-2024 23:38,21-11-2024 23:49,314,Delivered
239,204,28-09-2024 02:54,28-09-2024 03:03,1231,Delivered
240,75,13-11-2024 12:02,13-11-2024 12:15,1150,Delivered
241,165,09-11-2024 07:06,09-11-2024 07:19,816,Delivered
242,243,23-11-2024 07:24,23-11-2024 07:39,354,Delivered
243,246,17-11-2024 00:22,17-11-2024 00:33,509,Delivered
244,292,31-10-2024 08:45,31-10-2024 09:00,541,Delivered
245,165,11-11-2024 01:52,11-11-2024 02:01,806,Delivered
246,208,25-10-2024 03:14,25-10-2024 03:22,850,Delivered
247,96,15-11-2024 11:26,15-11-2024 11:40,812,Delivered
248,203,05-11-2024 06:41,05-11-2024 06:54,1160,Delivered
249,133,29-10-2024 19:19,29-10-2024 19:36,461,Delivered
250,28,08-11-2024 01:04,08-11-2024 01:12,1419,Delivered
251,278,26-09-2024 14:01,26-09-2024 14:13,611,Delivered
252,225,31-10-2024 18:27,31-10-2024 18:41,1256,Delivered
253,139,07-11-2024 20:32,07-11-2024 20:47,356,Delivered
254,45,21-11-2024 08:33,21-11-2024 08:43,669,Delivered
255,271,15-10-2024 18:50,15-10-2024 19:07,1326,Delivered
256,241,19-10-2024 21:01,19-10-2024 21:18,1389,Delivered
257,90,21-10-2024 14:24,21-10-2024 14:36,729,Delivered
258,250,07-10-2024 11:32,07-10-2024 11:42,363,Delivered
259,69,13-11-2024 02:56,13-11-2024 03:07,461,Delivered
260,293,23-11-2024 20:05,23-11-2024 20:19,1156,Delivered
261,197,27-09-2024 03:11,27-09-2024 03:26,170,Delivered
262,127,15-10-2024 18:16,15-10-2024 18:33,178,Delivered
263,260,22-11-2024 13:22,22-11-2024 13:36,1298,Delivered
264,136,07-10-2024 06:40,07-10-2024 06:48,1437,Delivered
265,49,08-11-2024 00:03,08-11-2024 00:20,812,Delivered
266,172,04-11-2024 09:37,04-11-2024 09:48,1434,Delivered
267,54,12-10-2024 14:53,12-10-2024 15:07,952,Delivered
268,262,12-11-2024 00:35,12-11-2024 00:44,663,Delivered
269,173,19-10-2024 00:36,19-10-2024 00:49,851,Delivered
270,246,04-10-2024 09:32,04-10-2024 09:47,1149,Delivered
271,46,30-10-2024 03:13,30-10-2024 03:21,271,Delivered
272,237,20-11-2024 09:06,20-11-2024 09:17,279,Delivered
273,31,13-10-2024 04:50,13-10-2024 04:58,140,Delivered
274,65,18-10-2024 14:33,18-10-2024 14:41,1288,Delivered
275,6,09-11-2024 18:15,,1398,Cancelled
276,222,07-10-2024 08:04,07-10-2024 08:21,1041,Delivered
277,142,09-10-2024 15:55,09-10-2024 16:06,428,Delivered
278,160,29-09-2024 09:11,29-09-2024 09:25,551,Delivered
279,168,23-10-2024 23:56,,1346,Cancelled
280,224,17-10-2024 06:04,17-10-2024 06:21,862,Delivered
281,229,08-10-2024 13:07,08-10-2024 13:24,873,Delivered
282,132,21-10-2024 11:04,21-10-2024 11:16,580,Delivered
283,270,29-09-2024 15:41,29-09-2024 15:54,905,Delivered
284,158,27-10-2024 15:26,27-10-2024 15:42,467,Delivered
285,138,06-10-2024 23:08,06-10-2024 23:21,831,Delivered
286,226,11-10-2024 14:39,11-10-2024 14:51,846,Delivered
287,207,23-10-2024 14:19,23-10-2024 14:34,1289,Delivered
288,64,01-11-2024 10:00,01-11-2024 10:09,845,Delivered
289,179,23-11-2024 10:30,23-11-2024 10:47,789,Delivered
290,36,17-10-2024 14:15,17-10-2024 14:29,718,Delivered
291,163,14-11-2024 10:01,14-11-2024 10:11,1267,Delivered
292,280,13-11-2024 13:42,13-11-2024 13:55,1460,Delivered
293,263,02-11-2024 23:23,02-11-2024 23:35,1038,Delivered
294,181,06-10-2024 12:42,06-10-2024 12:52,1022,Delivered
295,95,08-11-2024 12:19,08-11-2024 12:28,753,Delivered
296,241,09-11-2024 04:59,09-11-2024 05:15,638,Delivered
297,172,28-09-2024 14:32,28-09-2024 14:45,746,Delivered
298,273,20-11-2024 19:54,20-11-2024 20:06,307,Delivered
299,18,06-10-2024 11:34,06-10-2024 11:51,716,Delivered
300,107,28-10-2024 20:44,28-10-2024 21:00,1047,Delivered
301,264,12-10-2024 21:13,12-10-2024 21:30,603,Delivered
302,253,19-10-2024 16:35,19-10-2024 16:45,181,Delivered
303,213,31-10-2024 06:42,31-10-2024 06:59,345,Delivered
304,270,23-11-2024 21:33,23-11-2024 21:49,911,Delivered
305,176,20-11-2024 12:10,20-11-2024 12:21,719,Delivered
306,250,29-09-2024 04:16,29-09-2024 04:28,924,Delivered
307,189,14-11-2024 00:47,14-11-2024 01:04,787,Delivered
308,188,05-11-2024 02:40,05-11-2024 02:56,881,Delivered
309,162,17-10-2024 18:47,17-10-2024 19:01,592,Delivered
310,264,12-11-2024 07:09,12-11-2024 07:17,767,Delivered
311,16,23-11-2024 03:59,23-11-2024 04:07,1185,Delivered
312,258,09-11-2024 10:55,09-11-2024 11:10,720,Delivered
313,149,07-11-2024 20:21,,1264,Cancelled
314,39,15-10-2024 09:41,15-10-2024 09:49,631,Delivered
315,5,16-11-2024 07:19,16-11-2024 07:36,1271,Delivered
316,268,13-10-2024 10:33,13-10-2024 10:50,665,Delivered
317,201,17-11-2024 11:36,17-11-2024 11:47,625,Delivered
318,109,03-10-2024 20:23,03-10-2024 20:33,385,Delivered
319,146,04-10-2024 14:08,,198,Cancelled
320,213,02-11-2024 09:43,02-11-2024 10:00,1388,Delivered
321,163,03-11-2024 06:04,03-11-2024 06:19,300,Delivered
322,149,21-11-2024 15:43,21-11-2024 15:59,1119,Delivered
323,289,08-11-2024 04:32,08-11-2024 04:47,558,Delivered
324,271,19-11-2024 13:40,19-11-2024 13:56,944,Delivered
325,252,03-10-2024 00:26,03-10-2024 00:36,882,Delivered
326,186,07-10-2024 08:22,07-10-2024 08:34,1236,Delivered
327,256,22-11-2024 00:50,22-11-2024 01:04,421,Delivered
328,207,20-11-2024 01:29,20-11-2024 01:42,158,Delivered
329,82,16-11-2024 20:19,16-11-2024 20:30,1171,Delivered
330,209,01-11-2024 19:37,01-11-2024 19:45,1376,Delivered
331,204,16-11-2024 14:29,16-11-2024 14:39,1175,Delivered
332,281,30-10-2024 18:48,30-10-2024 19:02,231,Delivered
333,156,20-11-2024 15:05,20-11-2024 15:19,571,Delivered
334,85,13-11-2024 12:14,13-11-2024 12:22,305,Delivered
